Customer,Arrival Time,Start Service,End Service,Wait Time,Service Time,Time in System
44,59.6363,59.6363,59.7035,0.0000,0.0673,0.0673
45,59.7394,59.7394,59.8762,0.0000,0.1368,0.1368
46,64.9414,64.9414,65.1146,0.0000,0.1732,0.1732
47,67.1259,67.1259,69.9416,0.0000,2.8157,2.8157
48,67.8002,69.9416,70.5769,2.1414,0.6354,2.7768
49,68.4030,70.5769,71.4409,2.1739,0.8639,3.0379
50,70.7605,71.4409,71.5430,0.6803,0.1021,0.7824
51,72.5066,72.5066,73.4487,0.0000,0.9421,0.9421
52,75.3241,75.3241,75.6008,0.0000,0.2767,0.2767
53,76.4711,76.4711,77.0357,0.0000,0.5646,0.5646
54,76.7469,77.0357,77.2259,0.2888,0.1902,0.4790
55,77.5889,77.5889,77.9650,0.0000,0.3761,0.3761
56,77.9922,77.9922,78.3244,0.0000,0.3322,0.3322
57,81.6972,81.6972,82.2469,0.0000,0.5496,0.5496
58,82.4230,82.4230,82.5320,0.0000,0.1090,0.1090
59,85.6792,85.6792,87.9476,0.0000,2.2684,2.2684
60,85.9681,87.9476,89.1023,1.9794,1.1548,3.1342
61,87.0251,89.1023,91.8762,2.0772,2.7739,4.8511
62,88.1376,91.8762,92.0990,3.7386,0.2228,3.9614
63,91.5081,92.0990,92.5205,0.5909,0.4215,1.0124
64,91.6444,92.5205,92.6376,0.8761,0.1171,0.9932
65,93.9977,93.9977,95.2510,0.0000,1.2533,1.2533
66,94.9408,95.2510,95.7460,0.3102,0.4949,0.8052
67,95.3208,95.7460,96.4800,0.4251,0.7340,1.1591
68,96.6970,96.6970,98.1075,0.0000,1.4106,1.4106
69,97.5406,98.1075,98.3531,0.5669,0.2455,0.8124
70,102.4502,102.4502,102.5163,0.0000,0.0661,0.0661
71,106.6608,106.6608,108.4405,0.0000,1.7797,1.7797
72,107.7935,108.4405,108.6341,0.6470,0.1936,0.8407
73,108.6687,108.6687,109.0475,0.0000,0.3787,0.3787
74,108.9206,109.0475,109.3979,0.1268,0.3504,0.4773
75,109.4281,109.4281,109.9875,0.0000,0.5595,0.5595
76,110.0277,110.0277,110.7023,0.0000,0.6746,0.6746
77,112.1809,112.1809,113.6078,0.0000,1.4268,1.4268
78,113.4225,113.6078,113.7997,0.1853,0.1919,0.3772
79,114.8062,114.8062,115.2246,0.0000,0.4185,0.4185
80,115.4012,115.4012,116.5819,0.0000,1.1807,1.1807
81,117.7913,117.7913,118.2845,0.0000,0.4932,0.4932
82,117.8230,118.2845,119.7156,0.4615,1.4311,1.8926
83,118.4713,119.7156,120.4166,1.2443,0.7010,1.9453
84,118.8429,120.4166,120.5427,1.5737,0.1260,1.6997
85,119.4546,120.5427,121.8327,1.0881,1.2900,2.3781
86,120.8977,121.8327,122.5106,0.9350,0.6779,1.6129
87,121.1215,122.5106,123.0200,1.3891,0.5094,1.8986
88,121.9329,123.0200,123.9558,1.0871,0.9358,2.0229
89,124.5014,124.5014,125.0569,0.0000,0.5555,0.5555
90,124.9155,125.0569,125.2049,0.1413,0.1480,0.2893
91,125.1117,125.2049,125.4457,0.0931,0.2408,0.3339
92,127.4686,127.4686,129.0622,0.0000,1.5936,1.5936
93,129.7202,129.7202,129.9364,0.0000,0.2162,0.2162
94,130.3968,130.3968,130.4641,0.0000,0.0673,0.0673
95,130.4999,130.4999,130.6367,0.0000,0.1368,0.1368
96,135.7019,135.7019,135.8751,0.0000,0.1732,0.1732
97,137.8864,137.8864,140.7021,0.0000,2.8157,2.8157
98,138.5607,140.7021,141.3375,2.1414,0.6354,2.7768
99,139.1635,141.3375,142.2014,2.1739,0.8639,3.0379
100,141.5211,142.2014,142.3035,0.6803,0.1021,0.7824

Metrics,,,
Mean Arrival Rate (?),0.7066
Mean Service Rate (?),1.4136
Server Utilization (U),0.4971
Mean Number in System (N),0.8506
System Throughput (X),0.7027

Summary of Insights,,,
? The simulation shows how an M/M/1 queue behaves under load.
? The system had 100 customers arrive and complete service.
? Average arrival rate (?) was 0.7066 and service rate (?) was 1.4136.
? The server was busy 49.71% of the time.
? On average, 0.8506 customers were in the system.
? Average time a customer spent in the system was 1.2038 units.
? The system throughput is a good approximation of the arrival rate since all customers were served.
